GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCPM
Tmem55a,4.185,0.5701,0.7468,NotDiff,4.255,3.359,3.574,4.05
Tmem64,3.846,0.2252,0.9221,NotDiff,10.27,10.16,9.845,10.61
Decr1,5.556,-0.6373,0.5688,NotDiff,3.64,4.61,2.065,3.4
Nbn,4.27,-1,0.5696,NotDiff,0.992,0.7799,-1.009,1.354
Osgin2,6.338,-1.114,0.1638,NotDiff,6.734,6.725,7.167,7.533
Cpne3,4.634,-0.4523,0.7622,NotDiff,5.872,6.337,4.933,5.467
Rmdn1,4.101,0.2334,0.9123,NotDiff,5.84,4.976,5.894,4.182
Wwp1,2.658,1.056,0.7468,NotDiff,6.151,5.756,5.782,6.173
Ggh,6.18,0.3925,0.7265,NotDiff,5.019,5.364,1.987,-0.7768
Ccnc,4.416,-0.3056,0.8556,NotDiff,1.678,-3.597,-4.271,-4.271
Tstd3,4.847,-0.2882,0.8417,NotDiff,1.267,2.096,2.191,2.15
Usp45,2.285,1.244,0.7494,NotDiff,1.846,-4.271,0.8737,-4.271
Pnisr,3.56,0.6875,0.7687,NotDiff,2.225,2.793,4.351,3.856
Coq3,5.145,-1.03,0.4472,NotDiff,4.315,5.571,3.955,3.16
Faxc,-0.9908,-5.16,0.5425,NotDiff,0.3613,-4.271,-4.271,-4.271
Fbxl4,0.2572,-4.88,0.5188,NotDiff,8.333,8.683,7.945,8.837
Mms22l,4.875,-1.564,0.205,NotDiff,4.169,-4.271,-4.271,-2.832
Ndufaf4,4.984,-0.4071,0.7608,NotDiff,4.248,4.409,3.247,3.579
Ufl1,3.597,-0.3058,0.8993,NotDiff,2.715,2.7,2.688,2.401
Manea,0.8707,3.288,0.599,NotDiff,7.459,7.435,7.213,6.749
Map3k7,5.557,0.103,0.9419,NotDiff,-2,3.439,0.9706,-4.271
Bach2,2.329,-1.664,0.6888,NotDiff,3.2,4.676,2.119,-1.557
Casp8ap2,4.116,-0.9327,0.6462,NotDiff,7.859,7.517,8.313,8.124
Mdn1,0.8298,1.409,0.8224,NotDiff,-4.271,-4.271,2.918,-3.379
Lyrm2,4.923,-0.05033,0.982,NotDiff,5.583,6.242,4.565,5.844
Ankrd6,-2.268,0.06519,0.9964,NotDiff,5.689,5.785,5.331,5.728
Rragd,-1.066,-2.589,0.7673,NotDiff,-3.76,3.761,3.152,3.637
4933421O10Rik,2.273,-0.7394,0.8406,NotDiff,5.935,6.57,5.265,5.118
Ube2j1,8.088,0.5944,0.3566,NotDiff,5.07,3.306,4.348,5.581
Gabrr1,-4.176,-4.409,0.7213,NotDiff,3.757,4.492,3.689,4.795
Pm20d2,-4.253,-3.762,0.7494,NotDiff,4.128,3.251,4.993,5.17
Srsf12,-4.701,-2.939,0.8025,NotDiff,-4.271,-4.271,-4.271,1.391
Pnrc1,8.098,-0.4141,0.5521,NotDiff,2.258,-2.793,3.203,3.247
Rngtt,6.341,0.3369,0.7415,NotDiff,5.068,3.222,3.479,4.366
Spaca1,-1.706,-0.7054,0.9544,NotDiff,3.529,4.067,2.804,3.421
Akirin2,5.156,-0.5927,0.658,NotDiff,4.932,5.703,5.039,4.589
Orc3,6.993,-0.01404,0.9913,NotDiff,4.052,5.234,3.866,1.303
Rars2,5.39,-0.6174,0.6037,NotDiff,6.152,6.096,5.655,6.079
Slc35a1,5.35,-0.9099,0.4568,NotDiff,3.596,2.74,3.995,4.336
Smim8,4.988,0.038,0.9856,NotDiff,4.061,4.565,5.331,5.809
Zfp292,3.636,-0.6463,0.7648,NotDiff,4.967,6.43,5.497,5.975
Mob3b,-1.158,-1.045,0.922,NotDiff,-0.4457,-4.271,1.187,2.143
3110043O21Rik,5.157,-1.462,0.212,NotDiff,3.372,3.561,0.923,3.153
Aco1,4.664,0.6488,0.6776,NotDiff,6.772,6.394,7.555,6.886
Ddx58,3.432,1.669,0.4867,NotDiff,2.404,4.233,3.567,4.587
Topors,5.502,0.4781,0.698,NotDiff,1.575,-4.271,-0.3527,1.474
Toporsos,2.768,-0.2646,0.9413,NotDiff,3.586,3.265,2.414,4.026
Ndufb6,6.997,-0.493,0.5349,NotDiff,6.688,7.18,5.159,6.653
Aptx,4.459,-0.1719,0.9331,NotDiff,4.393,2.693,3.593,4.523
Dnaja1,8.711,0.4952,0.412,NotDiff,1.241,-4.271,2.065,0.3202
Smu1,8.606,0.1384,0.8337,NotDiff,4.838,4.986,5.366,5.79
B4galt1,8.112,0.5505,0.4517,NotDiff,1.755,1.634,0.5988,2.661
Bag1,8.966,0.04914,0.9517,NotDiff,2.557,2.054,3.208,3.181
Chmp5,6.539,0.005951,0.9964,NotDiff,2.691,3.919,1.445,-0.1265
Nfx1,6.278,-0.1449,0.9027,NotDiff,4.516,4.765,4.401,4.765
Aqp3,0.1318,-4.878,0.4941,NotDiff,5.194,5.867,5.211,5.001
Nol6,4.268,0.003068,0.9993,NotDiff,7.053,8.208,7.14,6.193
Ube2r2,6.577,-0.4681,0.6288,NotDiff,5.893,6.299,6.346,6.544
Ubap2,4.476,1.567,0.3078,NotDiff,-1.089,-0.1772,0.3695,2.046
Dcaf12,7.302,-0.01837,0.9871,NotDiff,-4.271,-4.271,0.18,-4.271
Ubap1,6.536,0.3317,0.7282,NotDiff,4.901,4.259,2.109,4.803
Kif24,-2.071,3.586,0.7351,NotDiff,4.672,4.541,4.845,5.02
Nudt2,4.246,-2.372,0.1778,NotDiff,0.9598,-4.271,-4.271,-3.757
Fam219a,-4.444,-3.412,0.7672,NotDiff,2.631,3.649,3.336,3.722
Dnaic1,-2.132,-0.454,0.9753,NotDiff,3.82,4.933,5.097,5.878
Enho,-3.951,-1.24,0.9322,NotDiff,5.577,5.958,5.873,5.445
Rpp25l,5.168,-0.01114,0.9955,NotDiff,-0.4031,-4.271,1.664,2.241
Dctn3,7.597,0.07568,0.9353,NotDiff,0.6515,-4.271,-4.271,-4.271
Sigmar1,5.042,-0.1656,0.9167,NotDiff,-2.28,-4.271,1.543,2.301
Galt,4.638,-0.6975,0.6761,NotDiff,4.309,5.228,4.382,4.613
Il11ra1,-4.242,3.747,0.7494,NotDiff,3.767,3.213,4.052,4.718
Ccl27a,1.119,-0.06443,0.9941,NotDiff,2.972,4.228,4.688,3.316
Dnajb5,-2.629,1.111,0.9327,NotDiff,4.11,3.937,4.298,4.552
Vcp,7.702,0.06935,0.9418,NotDiff,5.043,5.622,6.11,6.156
Fancg,3.337,3.626,0.2946,NotDiff,5.062,5.919,5.024,4.444
Pigo,4.815,0.1391,0.9353,NotDiff,5.401,5.641,5.823,4.921
Fam214b,1.994,1.591,0.7294,NotDiff,4.907,1.62,3.882,3.549
Tesk1,2.715,-0.4836,0.881,NotDiff,7.959,8.248,7.894,8.108
Cd72,3.808,-0.07347,0.9817,NotDiff,4.494,4.172,4.992,5.032
Sit1,6.023,0.06554,0.9629,NotDiff,4.776,4.824,5.019,5.557
Ccdc107,5.857,-0.1325,0.9197,NotDiff,7.44,7.3,6.486,7.071
Arhgef39,0.4946,-4.561,0.5007,NotDiff,4.86,4.357,4.104,3.82
Car9,-2.091,8.679,0.3223,NotDiff,7.561,6.112,7.567,7.455
Tln1,5.528,-0.007142,0.9964,NotDiff,4.084,6.182,4.552,4.989
Creb3,5.719,0.1376,0.9161,NotDiff,3.983,4.628,1.247,1.829
Gba2,3.571,0.539,0.7935,NotDiff,3.39,3.914,3.752,2.061
Rgp1,1.732,2.054,0.6976,NotDiff,6.726,5.994,6.381,6.223
Hint2,4.853,-0.06989,0.9733,NotDiff,6.322,4.946,5.792,5.97
Reck,2.415,0.9144,0.7931,NotDiff,1.441,1.576,-1.316,1.277
Glipr2,8,0.5449,0.4112,NotDiff,3.877,-4.271,0.8228,-0.5728
Clta,9.157,0.2281,0.7274,NotDiff,-4.271,-4.271,-3.58,1.519
Gne,5.081,-0.03392,0.9868,NotDiff,3.016,1.435,4.077,1.316
Gm12504,0.2043,-1.521,0.8329,NotDiff,6.266,6.748,6.143,6.595
Rnf38,4.261,-0.04469,0.9868,NotDiff,1.332,0.6442,0.3335,1.717
Melk,4.691,-1.637,0.2654,NotDiff,9.419,9.516,9.548,10.05
Zcchc7,3.716,0.6238,0.763,NotDiff,0.232,4.959,3.535,3.8
Grhpr,6.208,-1.171,0.1777,NotDiff,4.095,6.332,5.281,6.202
Zbtb5,2.604,0.9293,0.7665,NotDiff,2.485,0.01117,0.6581,0.06907
Polr1e,5.951,-0.4225,0.7027,NotDiff,0.6104,-4.271,1.147,-4.271
Tomm5,5.984,-0.4261,0.698,NotDiff,6.005,6.405,5.789,5.829
Trmt10b,3.124,2.32,0.4769,NotDiff,9.39,9.275,9.747,9.491
Exosc3,6.33,0.02259,0.9871,NotDiff,2.573,0.6154,-1.565,-2.621
Dcaf10,4.898,-0.06435,0.9753,NotDiff,4.487,5.297,4.442,5.385
Slc25a51,6.146,-0.126,0.9147,NotDiff,5.404,5.038,5.343,5.872
Aldh1b1,1.521,-0.1342,0.9858,NotDiff,-2,-4.271,-1.866,2.221
Tdrd7,0.1045,-2.953,0.7225,NotDiff,2.568,-2.513,3.354,1.975
Tmod1,-0.05636,3.427,0.6456,NotDiff,-1.766,1.484,2.744,1.563
Tstd2,4.102,-0.3492,0.8529,NotDiff,8.431,7.687,8.743,8.735
Ncbp1,7.018,-0.1441,0.8715,NotDiff,6.642,5.949,6.22,6.334
Xpa,5.205,-0.03867,0.9846,NotDiff,6.591,7.005,6.802,7.461
5830415F09Rik,1.609,-1.157,0.8249,NotDiff,5.572,4.86,3.779,5.468
Hemgn,-2.608,0.7951,0.9544,NotDiff,4.646,4.132,3.91,5.291
Anp32b,8.204,-0.1843,0.7937,NotDiff,-4.271,-4.271,-4.271,0.268
Nans,8.294,-0.3985,0.5456,NotDiff,3.833,4.705,3.563,3.394
Trim14,4.443,0.3726,0.8247,NotDiff,0.09009,-4.271,1.266,1.001
Coro2a,5.182,0.1181,0.9418,NotDiff,5.282,6.492,5.702,3.598
Tbc1d2,-4.239,4.206,0.7317,NotDiff,7.048,7.068,6.092,6.617
Galnt12,5.068,-0.7845,0.5617,NotDiff,7.506,7.497,6.153,5.553
Tgfbr1,-0.2994,-0.08193,0.9944,NotDiff,3.14,-4.271,3.964,4.94
Alg2,3.34,0.9729,0.7056,NotDiff,6.16,5.89,5.991,6.299
Sec61b,7.623,-0.672,0.3162,NotDiff,4.206,5.222,4.587,4.392
Nr4a3,5.415,-0.8877,0.4387,NotDiff,2.605,2.843,1.543,2.681
Stx17,4.764,1.114,0.4295,NotDiff,1.932,3.119,3.491,5.392
Erp44,7.806,-0.01809,0.9869,NotDiff,8.679,8.761,8.709,9.302
Invs,1.339,0.7766,0.8999,NotDiff,8.105,7.234,8.106,8.477
Tex10,5.872,-0.01105,0.9944,NotDiff,2.823,-4.271,1.915,-1.871
Mrpl50,5.837,-0.9443,0.3965,NotDiff,3.665,4.918,4.853,4.601
Zfp189,2.202,1.966,0.6541,NotDiff,1.369,-4.271,-4.271,-4.271
Rnf20,4.208,2.108,0.2749,NotDiff,-0.5817,0.4943,-4.271,2.419
Smc2,5.224,-1.009,0.408,NotDiff,6.952,6.261,5.818,7.039
Nipsnap3b,7.094,-0.5874,0.4485,NotDiff,4.405,4.462,5.077,4.599
Fsd1l,-2.811,0.6571,0.9658,NotDiff,2.385,-4.271,2.181,-3.08
Fktn,-1.321,1.736,0.8556,NotDiff,4.267,-3.597,4.046,3.59
Tal2,-4.152,-4.462,0.7167,NotDiff,4.334,2.541,2.777,-0.3527
Tmem38b,4.107,0.3204,0.8642,NotDiff,2.232,3.134,2.843,3.316
Rad23b,6.299,-0.5489,0.5781,NotDiff,-0.7318,0.2544,-2.764,1.697
Klf4,2.257,2.16,0.6204,NotDiff,5.912,5.806,6.119,6.059
Ikbkap,4.889,0.652,0.6604,NotDiff,6.192,5.244,6.016,5.837
Fam206a,4.803,0.06906,0.9744,NotDiff,6.801,6.822,5.438,5.334
Ctnnal1,0.00091,5.085,0.4862,NotDiff,2.91,1.931,-4.271,-4.271
Tmem245,1.715,0.8934,0.856,NotDiff,0.3613,1.931,2.307,3.149
Ptpn3,-0.4624,-4.182,0.5949,NotDiff,4.306,2.033,1.975,4.457
D630039A03Rik,3.925,0.6176,0.7476,NotDiff,7.371,7.837,7.872,7.848
Txn1,9.044,-0.5838,0.3078,NotDiff,3.335,4.595,2.119,-0.198
AI314180,4.654,-0.3287,0.8291,NotDiff,4.515,3.652,1.84,0.9527
Ptgr1,0.174,-6.284,0.3903,NotDiff,3.848,2.951,3.385,4.568
Dnajc25,4.193,-0.3824,0.8221,NotDiff,5.605,6.695,6.058,4.64
Ugcg,6.13,-1.056,0.3925,NotDiff,2.53,2.226,2.316,1.637
Gm12596,-2.903,-0.4649,0.9778,NotDiff,-4.271,1.242,-4.271,-0.2733
Susd1,3.838,-0.3226,0.8763,NotDiff,4.452,5.643,4.284,4.788
Ptbp3,7.228,0.08228,0.9402,NotDiff,5.94,5.494,5.621,5.919
Hsdl2,6.658,0.4132,0.6893,NotDiff,3.213,3.385,2.26,3.629
E130308A19Rik,4.942,0.454,0.7497,NotDiff,2.641,3.179,4.071,3.465
Inip,6.581,-0.1587,0.8849,NotDiff,1.575,-0.7205,0.008207,2.989
Snx30,-1.133,-1.678,0.8582,NotDiff,5.893,6.415,6.284,6.588
Slc31a2,3.511,0.3454,0.8923,NotDiff,5.288,4.182,3.975,4.68
Fkbp15,3.407,0.9051,0.7154,NotDiff,7.171,7.559,8.056,8.266
Slc31a1,5.694,1.175,0.2994,NotDiff,5.754,5.625,5.734,5.79
Cdc26,5.314,0.4862,0.7153,NotDiff,1.774,1.435,2.109,1.094
Prpf4,6.068,0.685,0.4716,NotDiff,6.467,6.05,5.973,6.005
Wdr31,-1.772,-9.155,0.2514,NotDiff,4.048,-4.271,4.138,4.659
Bspry,6.027,0.8723,0.3649,NotDiff,5.074,4.804,5.53,3.415
Hdhd3,2.326,-1.902,0.6334,NotDiff,2.451,-4.271,4.169,1.552
Alad,6.824,-0.4736,0.5827,NotDiff,10.06,8.993,10.44,10.1
Pole3,4.736,-0.2031,0.9055,NotDiff,4.982,5.001,4.768,5.109
4933430I17Rik,-4.63,-3.071,0.7916,NotDiff,5.744,5.094,5.328,5.046
Rgs3,3.983,1.342,0.4935,NotDiff,5.476,4.973,6.206,5.825
Akna,5.742,0.3849,0.7457,NotDiff,3.251,3.838,3.928,3.068
Whrn,-3.034,0.1196,0.9943,NotDiff,9.558,9.958,8.91,9.559
Atp6v1g1,6.993,-0.3738,0.6582,NotDiff,7.365,7.714,6.406,7.084
6330416G13Rik,3.845,0.521,0.8003,NotDiff,6.82,6.738,7.633,8.062
Tnfsf15,-4.57,3.494,0.7622,NotDiff,7.687,7.835,8.091,8.312
Tnfsf8,2.37,-1.469,0.7415,NotDiff,4.993,5.637,5.404,4.97
Trim32,1.26,-4.899,0.4474,NotDiff,3.254,2.235,-1.565,2.454
Cdk5rap2,-1.813,-0.1154,0.9941,NotDiff,3.762,3.89,3.649,4.696
Megf9,1.09,-3.701,0.5446,NotDiff,6.105,6.47,5.848,6.46
Tle1,3.163,1.564,0.55,NotDiff,4.243,5.036,5.265,5.439
C630043F03Rik,-4.614,-3.1,0.7891,NotDiff,4.218,3.609,3.7,3.862
Aldoart1,0.3883,0.4204,0.9649,NotDiff,3.607,4.89,3.937,3.746
Kdm4c,2.752,0.569,0.8509,NotDiff,5.296,6.305,4.362,4.054
Tmem261,4.527,0.4123,0.7841,NotDiff,2.579,2.831,0.4045,2.207
Zdhhc21,3.659,0.5336,0.7958,NotDiff,4.235,5.604,4.251,5.612
Ttc39b,6.398,0.5497,0.5884,NotDiff,2.379,1.061,3.304,3.366
Snapc3,4.83,-0.825,0.5656,NotDiff,7.246,7.353,6.074,6.39
Psip1,5.701,0.1688,0.8914,NotDiff,2.964,0.5561,1.167,-4.271
Ccdc171,-4.444,-3.831,0.7482,NotDiff,6.114,6.31,5.783,5.624
Rraga,6.904,-0.2358,0.7729,NotDiff,-0.8994,-4.271,1.061,1.29
Haus6,4.147,0.2011,0.9224,NotDiff,2.342,-4.271,-2.246,2.62
Plin2,5.646,0.2699,0.8052,NotDiff,1.698,2.818,0.947,2.588
Dennd4c,1.413,2.797,0.6449,NotDiff,0.1769,3.237,-0.8351,3.216
Rps6,8.981,0.07792,0.9181,NotDiff,6.181,6.352,5.982,6.207
Mllt3,4.912,0.3169,0.814,NotDiff,5.204,5.988,5.167,6.135
Focad,1.26,-4.193,0.5007,NotDiff,4.643,4.263,3.981,3.865
Klhl9,5.708,0.1868,0.8914,NotDiff,4.408,3.565,3.062,4.366
Mtap,6.513,-0.7881,0.3724,NotDiff,5.265,5.216,5.817,5.93
Cdkn2a,-1.169,-2.437,0.783,NotDiff,2.976,4.813,4.066,5.241
Cdkn2b,2.327,0.9161,0.8014,NotDiff,5.585,6.037,6.577,7.157
Tusc1,-3.255,2.189,0.8524,NotDiff,4.848,5.139,6.914,6.191
Caap1,4.377,-0.4421,0.7878,NotDiff,4.015,4.918,4.52,5.092
Plaa,6.291,-0.008788,0.995,NotDiff,3.877,4.635,3.876,4.028
Gm12657,-1.209,-1.828,0.8375,NotDiff,3.143,3.324,1.815,2.389
Ift74,2.155,-1.542,0.7276,NotDiff,6.734,6.043,5.514,6.433
Eqtn,-4.245,4.194,0.7319,NotDiff,4.143,4.488,4.077,4.969
Mysm1,4.637,-0.5237,0.7415,NotDiff,5.02,4.311,5.213,4.852
Jun,5.236,0.101,0.9539,NotDiff,2.126,3.79,2.043,1.237
Fggy,-2.488,0.4899,0.9753,NotDiff,2.832,4.866,4.759,1.811
Hook1,2.662,-0.5429,0.8649,NotDiff,3.938,5.523,4.986,6.141
Cyp2j6,-4.186,4.32,0.7274,NotDiff,-0.8994,-4.271,0.3335,2.786
Nfia,1.55,1.116,0.8195,NotDiff,1.94,-4.271,0.4722,4.691
Tm2d1,5.187,0.05042,0.9802,NotDiff,4.488,3.652,5.597,5.772
Inadl,0.7743,-3.578,0.5964,NotDiff,4.55,5.017,5.4,4.975
Usp1,5.282,-0.4912,0.7076,NotDiff,3.788,2.99,4.119,3.511
Alg6,4.756,-0.1323,0.9423,NotDiff,2.875,2.187,-2.246,0.9854
Itgb3bp,3.886,-1.355,0.4786,NotDiff,5.552,5.702,5.313,5.666
Efcab7,-3.39,-0.3399,0.9848,NotDiff,2.491,0.4297,2.965,3.491
Pgm2,6.433,-0.3899,0.7007,NotDiff,3.107,4.114,5.722,3.539
Raver2,-2.657,-0.1776,0.9912,NotDiff,1.668,1.731,-2.482,2.768
Jak1,7.155,0.9304,0.16,NotDiff,4.88,4.937,4.853,5.03
Ak4,0.4047,-3.515,0.6262,NotDiff,1.575,-4.271,-4.271,1.391
Leprot,6.297,0.006374,0.9964,NotDiff,-4.271,2.127,-0.6084,0.85
Pde4b,8.034,0.5917,0.394,NotDiff,1.281,2.837,2.054,2.973
Sgip1,-0.1913,6.472,0.396,NotDiff,8.286,8.502,7.624,7.939
Gm12709,-1.625,2.185,0.8103,NotDiff,-4.271,-4.271,-4.271,1.811
Tctex1d1,-3.086,3.885,0.7347,NotDiff,-4.271,-4.271,2.021,-4.271
Mier1,5.972,-0.08636,0.9532,NotDiff,-4.271,-4.271,0.2588,-4.271
Slc35d1,5.984,0.908,0.3347,NotDiff,8.213,7.544,8.345,8.291
Oma1,5.568,-0.1482,0.915,NotDiff,6.22,6.88,5.766,6.502
Prkaa2,-4.386,3.89,0.7458,NotDiff,1.596,-4.271,0.6869,-2.621
Usp24,3.084,-0.6022,0.8094,NotDiff,4.454,5.324,5.484,5.369
Dhcr24,3.514,0.2357,0.9271,NotDiff,6.607,7.39,7.092,6.884
Pars2,3.816,0.6828,0.7415,NotDiff,4.865,5.337,5.655,5.708
Ttc4,6.051,-0.207,0.8408,NotDiff,5.336,4.466,5.278,6.325
Acot11,-2.152,1.038,0.9335,NotDiff,4.791,5.277,4.832,5.058
Ssbp3,5.784,-0.9675,0.34,NotDiff,2.48,4.167,4.791,3.127
Mrpl37,6.923,-0.526,0.5091,NotDiff,2.433,-4.271,-0.6084,-0.2733
Cyb5rl,-1.935,-8.659,0.2812,NotDiff,3.68,5.32,5.667,5.968
Tceanc2,4.587,0.1738,0.927,NotDiff,5.317,4.617,4.353,4.38
Lrrc42,5.035,0.03308,0.9869,NotDiff,3.537,4.916,3.483,1.82
Hspb11,3.955,0.09862,0.9709,NotDiff,5.675,5.839,5.105,5.392
Yipf1,8.069,-0.3577,0.6056,NotDiff,2.252,3.26,2.269,3.325
Ndc1,5.099,-0.04416,0.9834,NotDiff,6.852,6.631,7.357,7.151
Lrp8,-1.457,-2.382,0.7922,NotDiff,3.51,5.357,4.646,4.334
Magoh,6.509,-0.6309,0.4589,NotDiff,9.063,8.855,8.355,8.571
0610037L13Rik,4.414,-0.6776,0.6894,NotDiff,8.673,8.669,8.666,8.416
Cpt2,3.778,0.6571,0.749,NotDiff,8.011,8.816,7.45,8.171
Scp2,6.5,-0.1382,0.8954,NotDiff,8.807,9.182,9.001,8.875
Echdc2,0.4343,-5.271,0.4485,NotDiff,6.438,6.695,6.2,6.825
Zyg11b,5.589,1.102,0.3239,NotDiff,5.687,6.806,6.162,6.46
Coa7,5.396,0.2942,0.8034,NotDiff,-4.271,2.318,1.692,3.056
Gpx7,0.7289,-3.488,0.6114,NotDiff,4.666,3.768,4.585,4.065
Zcchc11,3.413,-0.2767,0.9162,NotDiff,6.857,5.789,6.675,6.991
Prpf38a,6.867,-0.4852,0.5511,NotDiff,5.385,4.95,4.702,2.881
Orc1,4.652,0.4145,0.797,NotDiff,7.232,7.37,7.179,7.428
Cc2d1b,5.034,-0.2255,0.8756,NotDiff,6.727,6.682,6.31,6.427
Btf3l4,3.407,-0.5073,0.8173,NotDiff,0.8929,-1.473,-0.9193,-4.271
Txndc12,6.088,-0.2065,0.8439,NotDiff,4.406,1.435,5.636,5.532
Kti12,5.675,1.005,0.3361,NotDiff,-4.271,-4.271,1.266,-4.271
Rab3b,-4.024,-4.736,0.697,NotDiff,1.039,-4.271,-0.1356,-2.832
Nrd1,6.218,0.4543,0.6777,NotDiff,-2.838,-4.271,0.09666,-4.271
Osbpl9,6.754,0.4665,0.5797,NotDiff,5.045,5.232,5.639,4.762
Eps15,5.573,0.5255,0.6652,NotDiff,7.772,7.47,7.793,7.355
Rnf11,6.165,-0.2329,0.8103,NotDiff,5.389,4.482,5.072,5.234
Cdkn2c,4.698,1.093,0.4387,NotDiff,4.738,3.896,4.206,5.72
Faf1,6.558,-0.273,0.7608,NotDiff,-4.271,2.022,-4.271,-4.271
Bend5,-0.153,5.781,0.4528,NotDiff,0.4799,1.81,1.411,0.8851
Spata6,4.921,1.416,0.2673,NotDiff,1.487,-4.271,0.5682,-4.271
Foxd2,-3.849,4.615,0.6936,NotDiff,7.97,7.47,7.903,7.467
Foxd2os,2.162,1.189,0.7606,NotDiff,5,5.671,-0.4749,3.237
Cmpk1,7.644,-0.02063,0.9856,NotDiff,4.927,4.846,4.706,4.789
Stil,3.843,-0.8645,0.6777,NotDiff,7.41,7.226,8.57,8.08
Pdzk1ip1,-0.7284,-3.955,0.6433,NotDiff,3.016,2.622,0.6869,1.717
Efcab14,5.187,0.01369,0.9946,NotDiff,2.41,2.525,3.198,2.763
Atpaf1,3.647,0.06609,0.9837,NotDiff,3.907,3.515,4.482,3.344
Mob3c,3.27,1.605,0.5174,NotDiff,5.994,6.146,5.848,6.109
Mknk1,2.528,0.4666,0.9049,NotDiff,5.902,5.593,6.499,5.438
Faah,6.402,0.01761,0.9889,NotDiff,2.211,-4.271,2.959,2.854
Nsun4,5.333,-0.03885,0.9837,NotDiff,3.864,0.2912,-4.271,-4.271
Uqcrh,7.744,-0.127,0.8748,NotDiff,5.544,5.427,6.093,5.052
Lrrc41,6.438,0.2738,0.7736,NotDiff,5.985,5.543,5.842,5.512
Rad54l,5.973,-0.1239,0.9178,NotDiff,3.909,3.81,3.089,3.494
2510003B16Rik,-3.309,1.555,0.908,NotDiff,2.238,3.479,0.2199,1.079
Pomgnt1,4.986,0.5899,0.6923,NotDiff,4.677,5.01,4.713,5.019
Mast2,-1.099,1.373,0.8954,NotDiff,2.304,3.666,1.511,2.228
Ipp,2.451,-2.956,0.4915,NotDiff,8.263,8.295,7.564,7.878
Tmem69,1.377,0.5504,0.9316,NotDiff,9.414,9.116,9.083,9.014
Gpbp1l1,3.683,-0.9516,0.6683,NotDiff,5.373,4.684,5.308,4.964
Ccdc17,0.1538,3.912,0.5969,NotDiff,-0.002322,-0.7957,-0.2953,2.143
Akr1a1,9.673,-0.2755,0.6355,NotDiff,4.85,3.645,3.649,4.913
Prdx1,9.983,-0.4796,0.3324,NotDiff,4.331,3.451,4.786,6.205
Mmachc,3.224,-0.6224,0.792,NotDiff,4.304,3.499,4.621,2.46
Ccdc163,3.44,-0.6294,0.7784,NotDiff,6.231,4.921,6.953,6.732
Tesk2,1.668,-0.522,0.9279,NotDiff,2.735,3.346,2.73,1.647
Toe1,5.228,0.7024,0.5707,NotDiff,5.994,5.444,6.248,6.12
Mutyh,3.397,-2.134,0.385,NotDiff,5.655,5.939,5.909,6.436
Hpdl,-3.376,-1.073,0.9402,NotDiff,2.823,5.475,4.199,0.06907
Urod,6.755,-0.3729,0.715,NotDiff,6.348,6.322,6.436,6.218
Hectd3,5.048,0.9206,0.5007,NotDiff,5.094,4.682,4.446,5.376
Btbd19,2.685,2.401,0.4854,NotDiff,5.871,6.335,6.102,6.28
Plk3,5.163,0.3653,0.7735,NotDiff,0.5466,2.686,1.017,1.925
Kif2c,3.821,-0.0974,0.9733,NotDiff,3.417,-4.271,-0.6084,3.719
Rnf220,5.771,1.066,0.3106,NotDiff,1.344,2.107,-2.043,-1.223
Eri3,5.922,0.4695,0.6913,NotDiff,4.68,3.088,4.143,4.513
Dmap1,3.545,-2.373,0.4501,NotDiff,7.111,6.778,6.974,7.212
B4galt2,-2.204,0.03748,0.9987,NotDiff,4.993,5.348,5.649,4.839
Atp6v0b,7.402,-0.1824,0.8103,NotDiff,3.363,-1.744,3.748,1.29
Dph2,3.971,-1.015,0.5869,NotDiff,1.214,-4.271,0.923,-4.271
Ipo13,2.435,-3.366,0.4817,NotDiff,8.22,7.971,8.665,7.959
St3gal3,2.591,0.1272,0.9793,NotDiff,7.979,8.206,8.676,8.316
Kdm4a,2.953,0.9719,0.7388,NotDiff,3.932,5.323,4.94,3.587
Hyi,3.421,-0.3202,0.9024,NotDiff,5.017,5.553,4.747,5.416
Szt2,-3.117,2.324,0.8398,NotDiff,1.554,-4.271,-4.271,-4.271
Med8,6.615,0.04126,0.9754,NotDiff,4.946,4.46,4.833,6.04
Elovl1,7.171,0.7102,0.3324,NotDiff,-0.4896,0.01117,-0.8351,0.395
Cdc20,6.611,0.08066,0.9419,NotDiff,3.572,4.268,2.221,3.325
Ebna1bp2,7.801,-0.09236,0.9149,NotDiff,7.38,7.184,7.991,7.936
Slc2a1,6.227,0.2524,0.788,NotDiff,4.584,5.431,5.755,5.896
Zfp691,2.064,-1.306,0.7494,NotDiff,5.056,5.696,3.769,4.545
Ccdc23,5.644,0.1477,0.912,NotDiff,7.701,7.915,7.607,8
AU022252,3.953,-0.7594,0.7149,NotDiff,3.529,-0.3939,1.462,0.8851
P3h1,-0.1961,4.455,0.5923,NotDiff,6.132,5.585,5.77,6.005
Ybx1,8.547,0.06863,0.9336,NotDiff,5.822,4.924,5.693,6.915
Ppih,5.312,-0.461,0.7274,NotDiff,3.267,3.274,0.18,2.158
Ccdc30,1.815,-0.3415,0.9517,NotDiff,4.293,6.068,4.74,1.755
