GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCPM
Idh1,4.272,0.4345,0.8012,NotDiff,4.233,4.778,5.779,5.01
Pikfyve,2.087,1.13,0.7735,NotDiff,4.084,4.155,4.112,4.446
Map2,-0.9634,6.841,0.4179,NotDiff,1.811,-4.271,3.29,3.43
Rpe,6.418,0.1255,0.9123,NotDiff,1.829,2.658,0.6869,-3.379
Kansl1l,-1.543,-0.3487,0.9822,NotDiff,1.332,3.26,1.34,1.451
Acadl,8.343,-0.3314,0.6705,NotDiff,1.543,0.1379,2.362,-3.757
Lancl1,7.125,-0.4643,0.5537,NotDiff,4.462,4.686,3.1,4.853
Bard1,1.007,-2,0.7577,NotDiff,3.426,1.576,2.298,1.109
Atic,4.209,-1.467,0.4032,NotDiff,2.029,2.91,-2.043,-4.271
Mreg,-2.521,0.1046,0.9944,NotDiff,6.62,6.378,5.935,6.742
Pecr,3.274,-1.926,0.4528,NotDiff,2.211,-4.271,1.358,-3.08
Xrcc5,5.378,-0.3516,0.775,NotDiff,8.682,7.651,8.344,8.694
Smarcal1,3.696,-0.8236,0.7134,NotDiff,6.729,7.065,7.449,7.26
Rpl37a,7.808,0.03367,0.9753,NotDiff,4.691,5.497,6.566,6.89
Igfbp2,-4.333,-3.616,0.7575,NotDiff,2.615,-2.793,4.077,0.5988
Tns1,-0.3584,-4.076,0.6041,NotDiff,4.245,2.541,5.229,4.837
Arpc2,10.23,0.3825,0.4516,NotDiff,0.8929,-4.271,-1.708,-2.621
Aamp,7.531,0.5557,0.4528,NotDiff,2.19,2.446,4.467,4.021
Pnkd,5.136,-0.9768,0.4264,NotDiff,5.549,4.74,6.064,5.164
Tmbim1,4.821,-1.574,0.2496,NotDiff,2.696,3.911,4.585,3.611
Slc11a1,0.7618,3.433,0.6299,NotDiff,8.004,7.636,7.78,7.815
Ctdsp1,2.331,-0.01543,0.9978,NotDiff,-4.271,-4.271,1.706,-4.271
Usp37,6.004,0.2505,0.8164,NotDiff,0.992,-4.271,2.171,1.485
Rqcd1,8.199,-0.002025,0.9993,NotDiff,10.26,10.59,9.98,10.08
Zfp142,0.8217,-4.697,0.4817,NotDiff,7.556,8.059,7.502,7.01
Bcs1l,3.884,-1.231,0.5136,NotDiff,4.945,4.302,5.695,5.61
Rnf25,4.824,-0.06294,0.9762,NotDiff,4.839,3.139,5.395,5.92
Ttll4,-0.8047,-3.435,0.7042,NotDiff,1.648,3.847,-4.271,3.555
Wnt10a,-4.412,-3.471,0.7633,NotDiff,2.931,1.435,3.089,1.916
Nhej1,3.572,0.2651,0.9161,NotDiff,5.581,6.769,5.676,5.995
Slc23a3,-4.382,3.489,0.7622,NotDiff,7.746,8.711,7.735,8.603
Cnppd1,6.763,0.6103,0.4564,NotDiff,2.594,-4.271,4.063,2.671
Fam134a,6.392,0.441,0.6521,NotDiff,3.614,2.916,4.241,4.782
Zfand2b,6.13,-0.5601,0.5666,NotDiff,4.556,5.135,4.423,5.192
Abcb6,4.368,-1.231,0.4541,NotDiff,1.008,-4.271,-0.3527,2.255
Atg9a,3.158,0.6504,0.7954,NotDiff,-4.271,-4.271,1.394,-4.271
Ankzf1,3.142,0.9217,0.7351,NotDiff,3.125,4.398,3.385,3.4
Glb1l,-1.524,-1.25,0.9161,NotDiff,-4.271,1.468,-4.271,-4.271
Stk16,6.46,0.1088,0.9224,NotDiff,6.908,7.227,6.594,6.324
Dnajb2,5.207,0.1631,0.9167,NotDiff,6.326,6.942,6.064,6.239
Dnpep,6.847,-0.132,0.8923,NotDiff,6.032,5.624,6.615,6.253
Speg,-4.537,3.565,0.7605,NotDiff,3.081,4.474,5.445,4.486
Gmppa,5.791,0.4675,0.6845,NotDiff,3.663,3.515,1.788,3.695
Chpf,5.108,0.8695,0.5666,NotDiff,3.774,3.088,4.231,1.508
Stk11ip,1.01,-3.553,0.6203,NotDiff,1.792,-4.271,-4.271,4.127
Pax3,-2.717,-5.042,0.6566,NotDiff,6.713,6.253,6.798,6.079
Acsl3,2.137,-0.4088,0.9303,NotDiff,8.138,7.22,8.696,8.662
Utp14b,-4.228,-3.808,0.7493,NotDiff,5.384,5.296,4.364,5.79
Ap1s3,1.123,-0.4039,0.9554,NotDiff,6.958,6.569,7.11,6.753
Wdfy1,3.182,0.6807,0.7878,NotDiff,0.3858,-4.271,-4.271,-4.271
Mrpl44,6.056,-0.1036,0.9334,NotDiff,5.726,6.359,5.571,5.513
Serpine2,6.287,0.6345,0.5148,NotDiff,5.978,4.835,6.114,3.516
