"FeatureName,KO - CD8a+ Log2 Fold Change,TG - CD8a+ Log2 Fold Chang,GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCP"
"['Tns1', '-4.130630871', '4.13063087', 'Tns1', '-0.3584', '-4.076', '0.6041', 'NotDiff', '4.245', '2.541', '5.229', '4.83']"
"['Car2', '-2.90823845', '2.9082384', 'Car2', '2.431', '-2.602', '0.5226', 'NotDiff', '5.377', '5.228', '5.236', '5.07']"
"['Elmsan1', '-1.986447282', '1.98644728', 'Elmsan1', '1.828', '-0.0008585', '0.9999', 'NotDiff', '7.705', '6.564', '7.923', '8.17']"
"['Ikzf2', '-2.088038995', '2.08803899', 'Ikzf2', '5.91', '-1.708', '0.03386', 'Up pMIG', '-0.7855', '-4.271', '2.353', '-4.27']"
"['Tubb2a', '-2.567839752', '2.56783975', 'Tubb2a', '5.037', '0.7013', '0.5962', 'NotDiff', '0.8583', '-4.271', '-4.271', '-4.27']"
"['Mest', '-6.300555873', '6.30055587', 'Mest', '2.292', '1.675', '0.6852', 'NotDiff', '2.546', '5.314', '4.018', '4.46']"
"['Nsg2', '-3.063516676', '3.06351667', 'Nsg2', '0.5896', '-4.652', '0.4899', 'NotDiff', '10.1', '9.852', '10.27', '10.4']"
"['Sema4b', '-2.956601472', '2.95660147', 'Sema4b', '2.756', '0.04888', '0.9909', 'NotDiff', '3.161', '-4.271', '2.13', '3.63']"
"['Cyp51', '-1.807515862', '1.80751586', 'Cyp51', '8.18', '0.7888', '0.1693', 'NotDiff', '3.147', '-0.2815', '5.223', '3.81']"
"['Klf3', '-2.007359496', '2.00735949', 'Klf3', '0.2623', '-5.138', '0.467', 'NotDiff', '-4.271', '2.263', '-4.271', '-4.27']"
"['Sell', '-4.05663029', '4.0566302', 'Sell', '5.127', '-2.032', '0.05588', 'Up pMIG', '1.638', '-4.271', '-4.271', '-4.27']"
"['Epcam', '-2.633131212', '2.63313121', 'Epcam', '-0.3651', '-3.521', '0.6777', 'NotDiff', '0.2851', '1.104', '2.473', '0.370']"
"['Crip2', '-2.32993968', '2.3299396', 'Crip2', '4.413', '-0.2078', '0.9123', 'NotDiff', '1.838', '-4.271', '2.362', '1.04']"
"['Dtx4', '-2.678118667', '2.67811866', 'Dtx4', '3.3', '1.281', '0.6012', 'NotDiff', '6.757', '6.62', '6.121', '6.01']"
"['Lrig1', '-2.993127348', '2.99312734', 'Lrig1', '1.523', '-2.817', '0.6122', 'NotDiff', '7.659', '8.055', '7.543', '7.35']"
"['Trerf1', '-2.393665277', '2.39366527', 'Trerf1', '1.393', '7.272', '0.2419', 'NotDiff', '1.774', '2.413', '3.276', '2.77']"
"['Ssh2', '-1.570225475', '1.57022547', 'Ssh2', '5.474', '-0.3998', '0.7468', 'NotDiff', '1.957', '-4.271', '-4.271', '-4.27']"
"['Vps37b', '-1.442079605', '1.44207960', 'Vps37b', '9.814', '1.545', '0.0001746', 'UpBatf', '1.627', '-4.271', '-4.271', '-4.27']"
"['Fads1', '-2.616057699', '2.61605769', 'Fads1', '3.802', '0.494', '0.797', 'NotDiff', '7.147', '7.565', '7.529', '7.62']"
"['Fosl2', '-1.472466845', '1.47246684', 'Fosl2', '6.165', '-0.2142', '0.8325', 'NotDiff', '4.382', '4.383', '3.805', '4.93']"
"['Elovl6', '-2.676065008', '2.67606500', 'Elovl6', '3.796', '-0.3921', '0.8517', 'NotDiff', '7.051', '4.631', '5.547', '5.93']"
"['Areg', '-4.452558966', '4.45255896', 'Areg', '2.839', '-1.582', '0.6028', 'NotDiff', '1.039', '-4.271', '2.893', '3.48']"
"['Socs3', '-1.904355016', '1.90435501', 'Socs3', '4.934', '1.059', '0.4198', 'NotDiff', '5.825', '5.432', '5.802', '5.98']"
"['P2ry10', '-1.502219992', '1.50221999', 'P2ry10', '8.483', '0.7116', '0.3431', 'NotDiff', '3.532', '2.454', '2.959', '2.4']"
"['Tmem50b', '-1.958864523', '1.95886452', 'Tmem50b', '6.366', '0.4015', '0.682', 'NotDiff', '0.5682', '3.878', '2.918', '3.45']"
"['Clec2i', '-2.109872311', '2.10987231', 'Clec2i', '2.383', '-2.759', '0.5226', 'NotDiff', '5.998', '4.059', '3.978', '5.24']"
"['Timp2', '-2.393665277', '2.39366527', 'Timp2', '2.808', '0.8716', '0.761', 'NotDiff', '4.992', '5.111', '6.483', '5.34']"
"['Itgb1', '-1.410332684', '1.41033268', 'Itgb1', '9.971', '0.4622', '0.3707', 'NotDiff', '6.156', '6.221', '6.188', '6.7']"
"['Nr3c1', '-1.434079546', '1.43407954', 'Nr3c1', '6.706', '0.04681', '0.9716', 'NotDiff', '3.928', '4.327', '2.874', '4.52']"
"['Kif1b', '-1.685005052', '1.68500505', 'Kif1b', '3.334', '-0.3926', '0.877', 'NotDiff', '3.853', '4.411', '4.916', '']"
"['Abl1', '-1.986240962', '1.98624096', 'Abl1', '2.352', '1.789', '0.6604', 'NotDiff', '-4.271', '-4.271', '1.411', '-4.27']"
"['Chek1', '-1.978627778', '1.97862777', 'Chek1', '4.544', '-0.3197', '0.8509', 'NotDiff', '5.766', '6.406', '4.442', '5.81']"
"['Ctsl', '-2.393665277', '2.39366527', 'Ctsl', '3.114', '-0.7809', '0.783', 'NotDiff', '3.739', '5.067', '4.169', '2.53']"
"['Sntb1', '-1.836447767', '1.83644776', 'Sntb1', '2.261', '1.964', '0.6355', 'NotDiff', '8.067', '7.978', '8.292', '8.33']"
"['Klhdc2', '-1.600116155', '1.60011615', 'Klhdc2', '6.675', '-0.9512', '0.1971', 'NotDiff', '-1.879', '-4.271', '0.2588', '-4.27']"
"['Elovl5', '-1.391605755', '1.39160575', 'Elovl5', '7.938', '-0.5776', '0.3987', 'NotDiff', '2.854', '3.587', '3.168', '-2.27']"
"['Mvk', '-2.16100452', '2.1610045', 'Mvk', '5.931', '-0.704', '0.4974', 'NotDiff', '-4.271', '2.086', '-4.271', '-4.27']"
"['Ovol2', '-2.2499298', '2.249929', 'Ovol2', '3.344', '1.806', '0.4769', 'NotDiff', '3.36', '3.797', '2.109', '3.38']"
"['1700025G04Rik', '-1.841124254', '1.84112425', '1700025G04Rik', '-3.67', '-0.6748', '0.9675', 'NotDiff', '3.512', '3.443', '1.574', '2.26']"
"['Tspyl4', '-2.16100452', '2.1610045', 'Tspyl4', '3.826', '1.126', '0.5785', 'NotDiff', '5.772', '3.957', '4.654', '5.43']"
"['Neurl3', '-1.281754675', '1.28175467', 'Neurl3', '8.154', '0.2977', '0.6935', 'NotDiff', '5.722', '2.99', '4.044', '5.09']"
"['Gpr55', '-1.93537458', '1.9353745', 'Gpr55', '-3.286', '3.019', '0.7875', 'NotDiff', '1.755', '-4.271', '-4.271', '-4.27']"
"['Cd55', '-2.032783548', '2.03278354', 'Cd55', '2.388', '-0.3346', '0.9415', 'NotDiff', '6.043', '5.273', '3.815', '3.72']"
"['Crim1', '-1.63759086', '1.6375908', 'Crim1', '2.391', '1.82', '0.6414', 'NotDiff', '3.476', '3.354', '4.305', '3.49']"
"['Tmem245', '-1.782707568', '1.78270756', 'Tmem245', '1.715', '0.8934', '0.856', 'NotDiff', '0.3613', '1.931', '2.307', '3.14']"
"['Rnf141', '-2.007774124', '2.00777412', 'Rnf141', '2.891', '1.529', '0.6187', 'NotDiff', '2.285', '-4.271', '1.061', '1.98']"
"['Smad3', '-1.841124254', '1.84112425', 'Smad3', '2.241', '2.722', '0.5403', 'NotDiff', '5.871', '5.435', '5.893', '5.55']"
"['Lats2', '-1.685005052', '1.68500505', 'Lats2', '3.336', '0.9558', '0.7078', 'NotDiff', '3.019', '4.223', '4.516', '5.08']"
"['Jmy', '-1.419351921', '1.41935192', 'Jmy', '2.799', '-0.4888', '0.8725', 'NotDiff', '6.333', '6.572', '5.478', '5.65']"
"['Ube2j1', '-1.287151621', '1.28715162', 'Ube2j1', '8.088', '0.5944', '0.3566', 'NotDiff', '5.07', '3.306', '4.348', '5.58']"
"['Pja1', '-1.36386673', '1.3638667', 'Pja1', '7.325', '0.9949', '0.1189', 'NotDiff', '4.265', '6.694', '4.263', '4.32']"
